id,title,release_date,runtime,production_countries,overview,cast,crew,,,,,,,
3972,Iguana,01/04/1988,88,,A grotesquely disfigured harpooner called Iguana is severely mistreated by his fellow sailors on a whaling ship in the 19th century. One night he escapes and takes up residence on a remote island. He makes himself ruler of the island and declares war on mankind. Anyone unfortunate enough to wind up on the island with Iguana is subjected to his cruel tyranny.,"Everett McGill,Fabio Testi,Michael Madsen,Jack Taylor","Director:  Monte Hellman , Screenwriter:   , Producer:  ",,,,,,,
3973,Chicago Overcoat,10/10/2009,95,United States of America,The fates of an aging hitman and a washed up detective become entwined when one last job leads to one last chance to settle an old score.,"Frank Vincent,Kathrine Narducci,Mike Starr,Stacy Keach,Armand Assante","Director:  Brian Caunter , Screenwriter:  John Bosher , Producer:  ",,,,,,,
3974,Barry Munday,13/03/2010,95,United States of America,"Barry Munday, a libido-driven wage slave who spends all his time either ogling, fantasizing about or trying to pick up women, wakes up in hospital after a freak attack only to find that his testicles have been removed.","Patrick Wilson,Malcolm McDowell,Judy Greer,Chlo\u00eb Sevigny,Missi Pyle","Director:  Chris D'Arienzo , Screenwriter:  Chris D'Arienzo , Producer:  Eric Kopeloff,Producer:  Mickey Barold,Producer:  Stone Douglass,Producer:  Matt Weaver,Producer:  Casey Engelhardt",,,,,,,
3975,Central Station,16/01/1998,113,Brazil,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.","Fernanda Montenegro,Mar\u00edlia P\u00eara,Vin\u00edcius de Oliveira,Othon Bastos,Ot\u00e1vio Augusto","Director:  Walter Salles , Screenwriter:  Walter Salles,Screenwriter:  Marcos Bernstein,Screenwriter:  Jo\u00e3o Emanuel Carneiro , Producer:  Robert Redford,Producer:  Walter Salles,Producer:  Arthur Cohn,Producer:  Jack Gajos,Producer:  Paulo Carlos De Brito,Producer:  Martine De Clermont-Tonnerre",,,,,,,
3976,Pocketful of Miracles,18/12/1961,136,United States of America,"Damon Runyon's fairytale, sweet and funny, is told by director Frank Capra. Boozy, brassy Apple Annie, a beggar with a basket of apples, is as much as part of downtown New York as old Broadway itself. Bootlegger Dave the Dude is a sucker for her apples --- he thinks they bring him luck. But Dave and girlfriend Queenie Martin need a lot more than luck when it turns out that Annie is in a jam and only they can help: Annie's daughter Louise, who has lived all her life in a Spanish convent, is coming to America with a Count and his son. The count's son wants to marry Louise, who thinks her mother is part of New York society. It's up to Dave and Queenie and their Runyonesque cronies to turn Annie into a lady and convince the Count and his son that they are hobnobbing with New York's elite.","Glenn Ford,Bette Davis,Hope Lange,Arthur O'Connell,Peter Falk","Director:  Frank Capra , Screenwriter:  Robert Riskin , Producer:  Frank Capra",,,,,,,
3977,Close Range,11/12/2015,80,United States of America,"A rogue soldier turned outlaw is thrust into a relentless fight with a corrupt sheriff, his obedient deputies, and a dangerous drug cartel in order to protect his sister and her young daughter.","Scott Adkins,Nick Chinlund,Caitlin Keats,Jake La Botz,Tony Perez","Director:  Isaac Florentine , Screenwriter:   , Producer:  Ehud Bleiberg",,,,,,,
3978,Boynton Beach Club,05/08/2005,105,,A handful of men and women of a certain age pick up the pieces of their lives and look for new love after the loss of their mates in this comedy drama from writer-director Susan Seidelman.,"Brenda Vaccaro,Dyan Cannon,Joseph Bologna","Director:   , Screenwriter:   , Producer:  ",,,,,,,
3979,Amnesiac,14/08/2015,90,United States of America,"The story of a man who wakes up in bed suffering from memory loss after being in an accident, only to begin to suspect that his wife may not be his real wife and that a web of lies and deceit deepen inside the house where he soon finds himself a prisoner.","Kate Bosworth,Wes Bentley,Shashawnee Hall,Richard Riehle,Patrick Bauchau","Director:  Michael Polish , Screenwriter:   , Producer:  ",,,,,,,
3980,Freakonomics,01/10/2010,93,United States of America,Some of the world's most innovative documentary filmmakers will explore the hidden side of everything.,"Zoe Sloane,Jade Viggiano,Amancaya Aguilar,Kahiry Bess,Alisha Naragsheth","Director:  Heidi Ewing,Director:  Rachel Grady,Director:  Morgan Spurlock,Director:  Seth Gordon,Director:  Alex Gibney,Director:  Eugene Jarecki , Screenwriter:  Alex Gibney,Screenwriter:  Peter Bull , Producer:  Rafi Chaudry,Producer:  Chad Troutwine,Producer:  Dan O'Meara,Producer:  Chris Romano,Producer:  Peter Cerbin,Producer:  Hilary Carr",,,,,,,
3981,High Tension,18/06/2003,91,France,"Alexia travels with her friend Marie to spend a couple of days with her family in their farm in the country. They arrive late and they are welcomed by Alexia's father. Late in the night, a sadistic and sick killer breaks into the farmhouse, slaughters Alexia's family--including their dog--and kidnaps Alexia. Marie hides from the criminal and tries to help the hysterical and frightened Alexia, chase the maniac, and disclose his identity in the end.","C\u00e9cile de France,Ma\u00efwenn,Philippe Nahon,Franck Khalfoun,Andrei Finti","Director:  Alexandre Aja , Screenwriter:  Gr\u00e9gory Levasseur,Screenwriter:  Alexandre Aja , Producer:  Robert Benmussa,Producer:  Alexandre Arcady",,,,,,,
3982,Griff the Invisible,19/08/2011,93,Australia,"Griff, office worker by day, superhero by night, has his world turned upside down when he meets Melody, a beautiful young scientist who shares his passion for the impossible.","Ryan Kwanten,Maeve Dermody,Marshall Napier,Heather Mitchell,Patrick Brammall","Director:  Leon Ford , Screenwriter:   , Producer:  ",,,,,,,
3983,Unnatural,16/10/2015,89,United States of America,Global climate change prompts a scientific corporation to genetically modify Alaskan polar bears with horrific and deadly results.,"James Remar,Sherilyn Fenn,Ron Carlson,Graham Greene,Allegra Carpenter","Director:  Hank Braxtan , Screenwriter:   , Producer:  ",,,,,,,
3984,Hustle & Flow,22/07/2005,116,United States of America,"With help from his friends, a Memphis pimp in a mid-life crisis attempts to become a successful hip-hop emcee.","Terrence Howard,Anthony Anderson,Taryn Manning,Taraji P. Henson,Elise Neal","Director:  Craig Brewer , Screenwriter:  Craig Brewer , Producer:  John Singleton,Producer:  Stephanie Allain",,,,,,,
3985,Some Like It Hot,18/03/1959,122,United States of America,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.","Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,Pat O\u2019Brien","Director:  Billy Wilder , Screenwriter:  Billy Wilder,Screenwriter:  I.A.L. Diamond , Producer:  Billy Wilder,Producer:  Doane Harrison",,,,,,,
3986,Friday the 13th Part VII: The New Blood,13/05/1988,88,United States of America,"Tina possesses the gift of telekinesis, allowing her to move things and see the future, using the power of her mind. But when a devious doctor tries to exploit her ability, the gift becomes a hellish curse. Tina unwittingly unchains the merciless bloodthirsty Jason Voorhees from his watery grave, igniting a bloodbath that ends in the ultimate showdown in strength of mind versus pure evil matter.","Kane Hodder,Lar Park Lincoln,Susan Jennifer Sullivan,Kevin Spirtas,Terry Kiser","Director:  John Carl Buechler , Screenwriter:  Manuel Fidello,Screenwriter:  Daryl Haney , Producer:  Frank Mancuso Jr.,Producer:  Iain Paterson,Producer:  Barbara Sachs",,,,,,,
3987,The Wizard of Oz,15/08/1939,102,United States of America,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","Judy Garland,Frank Morgan,Ray Bolger,Bert Lahr,Jack Haley","Director:  Victor Fleming , Screenwriter:  Edgar Allan Woolf,Screenwriter:  Noel Langley,Screenwriter:  Florence Ryerson , Producer:  Mervyn LeRoy,Producer:  Arthur Freed",,,,,,,
3988,Young Frankenstein,15/12/1974,106,United States of America,"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.","Gene Wilder,Peter Boyle,Marty Feldman,Madeline Kahn,Cloris Leachman","Director:  Mel Brooks , Screenwriter:  Gene Wilder,Screenwriter:  Mel Brooks , Producer:  Michael Gruskoff",,,,,,,
3989,Diary of the Dead,08/09/2007,95,United States of America,A group of young film students run into real-life zombies while filming a horror movie of their own.,"Michelle Morgan,Joshua Close,Shawn Roberts,Amy Lalonde,Joe Dinicol","Director:  George A. Romero , Screenwriter:  George A. Romero , Producer:  ",,,,,,,
3990,Lage Raho Munna Bhai,01/01/2006,144,India,"A hilarious underworld gangster known as Munna Bhai falls comically in love with a radio host by the name of Jahnvi, who runs an elders' home, which is taken over by an unscrupulous builder, who gets the residents kicked out ironically with the help of Munna's sidekick, Circuit, while Munna is busy romancing Jahnvi elsewhere.","Sanjay Dutt,Arshad Warsi,Dilip Prabhavalkar,Vidya Balan,Dia Mirza","Director:  Rajkumar Hirani , Screenwriter:  Vidhu Vinod Chopra , Producer:  Vidhu Vinod Chopra",,,,,,,
3991,Ulee's Gold,13/06/1997,112,United States of America,An elderly beekeeper and Vietnam vet must rescue his daughter-in-law and protect his grandchildren from killers.,"Peter Fonda,Patricia Richardson,Christine Dunford,Tom Wood,Jessica Biel","Director:  Victor Nunez , Screenwriter:   , Producer:  ",,,,,,,
3992,The Black Stallion,17/10/1979,118,United States of America,"While traveling with his father, young Alec becomes fascinated by a mysterious Arabian stallion that is brought on board and stabled in the ship he is sailing on. When it tragically sinks both he and the horse survive only to be stranded on a deserted island. He befriends it, so when finally rescued both return to his home where they soon meet Henry Dailey, a once successful trainer. Together they begin training the horse to race against the fastest ones in the world.","Kelly Reno,Mickey Rooney,Teri Garr,Clarence Muse,Hoyt Axton","Director:  Carroll Ballard , Screenwriter:  Melissa Mathison,Screenwriter:  William D. Wittliff,Screenwriter:  Jeanne Rosenberg , Producer:  Fred Roos,Producer:  Tom Sternberg",,,,,,,
3993,Sardaarji,26/06/2015,0,India,A ghost hunter uses bottles to capture troublesome spirits.,NA,"Director:  Rohit Jugraj , Screenwriter:   , Producer:  ",,,,,,,
3994,Journey to Saturn,26/09/2008,90,Denmark,"A Danish crew of misfits travel to Saturn in search for natural resources. However, the planet is colonized by a ruthless army of Aliens that turn their eye on Earth and invade Denmark. Thus, the crew change their mission to liberate Denmark.","Casper Christensen,Frank Hvam,Ali Kazim,Iben Hjejle,Peter Belli","Director:  Kresten Vestbjerg Andersen,Director:  Thorbj\u00f8rn Christoffersen , Screenwriter:   , Producer:  ",,,,,,,
3995,Donovan's Reef,12/06/1963,109,United States of America,"'Guns' Donovan prefers carousing with his pals Doc Dedham and 'Boats' Gilhooley, until Dedham's high-society daughter Amelia shows up in their South Seas paradise.","John Wayne,Elizabeth Allen,Lee Marvin,Cesar Romero,Mike Mazurki","Director:  John Ford , Screenwriter:  Frank S. Nugent,Screenwriter:  James Edward Grant , Producer:  John Ford",,,,,,,
3996,The Dress,21/03/1996,103,Netherlands,"The story of a summer dress and those who have to do with it, especially the train conductor (played by van Warmerdam, the director). The dress functions as catalyst for the whimsical events, which turns out to be either tragic or hilarious.","Henri Garcin,Ingeborg Elzevier,Khaldoun Elmecky,Margo Dames,Frans Vorstman","Director:  Alex van Warmerdam , Screenwriter:  Alex van Warmerdam , Producer:  Ton Schippers",,,,,,,
